phenomenon	clause_wo	np_wo	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
3_1_clausal_V_form	sov	ng	erg-abs	8	800	0.978750	0.176250	0.806245
3_1_clausal_V_form	sov	ng	nom-acc	8	800	0.995000	0.000000	0.995000
3_1_clausal_V_form	svo	gn	erg-abs	8	800	0.963750	0.125000	0.843281
3_1_clausal_V_form	svo	gn	nom-acc	8	800	0.966250	0.000000	0.966250
3_1_clausal_V_form	svo	ng	erg-abs	8	800	0.957500	0.125000	0.837813
3_1_clausal_V_form	svo	ng	nom-acc	8	800	0.983750	0.000000	0.983750
3_1_clausal_V_form	vos	gn	erg-abs	8	800	0.990000	0.176250	0.815512
3_1_clausal_V_form	vos	gn	nom-acc	8	800	0.995000	0.000000	0.995000
3_1_clausal_V_form	vos	ng	erg-abs	8	800	0.992500	0.176250	0.817572
3_1_clausal_V_form	vos	ng	nom-acc	8	800	0.995000	0.000000	0.995000
3_2_clausal_S_marker	sov	gn	erg-abs	8	800	0.838750	0.793750	0.172992
3_2_clausal_S_marker	sov	gn	nom-acc	8	800	0.710000	0.025000	0.692250
3_2_clausal_S_marker	sov	ng	erg-abs	8	800	0.623750	0.850000	0.093563
3_2_clausal_S_marker	sov	ng	nom-acc	8	800	0.360000	0.160000	0.302400
3_2_clausal_S_marker	svo	gn	erg-abs	8	800	0.810000	0.793750	0.167063
3_2_clausal_S_marker	svo	gn	nom-acc	8	800	0.891250	0.010000	0.882337
3_2_clausal_S_marker	svo	ng	erg-abs	8	800	0.803750	0.010000	0.795712
3_2_clausal_S_marker	svo	ng	nom-acc	8	800	0.843750	0.012500	0.833203
3_2_clausal_S_marker	vos	gn	erg-abs	8	800	0.940000	0.850000	0.141000
3_2_clausal_S_marker	vos	gn	nom-acc	8	800	0.526250	0.160000	0.442050
3_2_clausal_S_marker	vos	ng	erg-abs	8	800	0.920000	0.793750	0.189750
3_2_clausal_S_marker	vos	ng	nom-acc	8	800	0.656250	0.025000	0.639844
3_3_clausal_A_marker	sov	gn	erg-abs	8	800	0.993750	0.753750	0.244711
3_3_clausal_A_marker	sov	gn	nom-acc	8	800	0.368750	0.125000	0.322656
3_3_clausal_A_marker	sov	ng	erg-abs	8	800	0.997500	0.753750	0.245634
3_3_clausal_A_marker	sov	ng	nom-acc	8	800	0.510000	0.125000	0.446250
3_3_clausal_A_marker	svo	gn	erg-abs	8	800	0.998750	0.133750	0.865167
3_3_clausal_A_marker	svo	gn	nom-acc	8	800	0.941250	0.000000	0.941250
3_3_clausal_A_marker	svo	ng	erg-abs	8	800	1.000000	0.000000	1.000000
3_3_clausal_A_marker	svo	ng	nom-acc	8	800	0.896250	0.000000	0.896250
3_3_clausal_A_marker	vos	gn	erg-abs	8	800	0.997500	0.753750	0.245634
3_3_clausal_A_marker	vos	gn	nom-acc	8	800	0.747500	0.125000	0.654062
3_3_clausal_A_marker	vos	ng	erg-abs	8	800	0.992500	0.753750	0.244403
3_3_clausal_A_marker	vos	ng	nom-acc	8	800	0.626250	0.125000	0.547969
