phenomenon	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	anc_wo_choice	anc_iv_order	anc_tv_order	n_pairs	accuracy_strict	mean_delta_good_minus_bad	bad_parse	bad_skip	bad_parse_rate	accuracy_when_bad_parse	accuracy_when_bad_skip
1_1_intran_V_form	49_svo_ng_ac_b_pa	svo	ng	nom-acc	balancing	poss-acc	vos				100	1.000000	3.441635	0	100	0.000000		1.000000
1_1_intran_V_form	50_svo_ng_ac_b_ep	svo	ng	nom-acc	balancing	erg-poss	vos				100	1.000000	3.719344	0	100	0.000000		1.000000
1_1_intran_V_form	51_svo_ng_ac_b_no	svo	ng	nom-acc	balancing	nomn	vos				100	1.000000	3.634931	0	100	0.000000		1.000000
1_1_intran_V_form	52_svo_ng_ac_d_se	svo	ng	nom-acc	deranking	sent	svo				100	0.990000	1.333422	0	100	0.000000		0.990000
1_1_intran_V_form	53_svo_ng_ac_d_pa	svo	ng	nom-acc	deranking	poss-acc	vos				100	0.940000	1.230662	0	100	0.000000		0.940000
1_1_intran_V_form	54_svo_ng_ac_d_ep	svo	ng	nom-acc	deranking	erg-poss	vos				100	0.990000	1.327178	0	100	0.000000		0.990000
1_1_intran_V_form	55_svo_ng_ac_d_no	svo	ng	nom-acc	deranking	nomn	vos				100	0.970000	1.300159	0	100	0.000000		0.970000
1_1_intran_V_form	56_svo_ng_er_b_se	svo	ng	erg-abs	balancing	sent	svo				100	1.000000	3.206084	0	100	0.000000		1.000000
1_1_intran_V_form	57_svo_ng_er_b_pa	svo	ng	erg-abs	balancing	poss-acc	vos				100	1.000000	3.182981	0	100	0.000000		1.000000
1_1_intran_V_form	58_svo_ng_er_b_ep	svo	ng	erg-abs	balancing	erg-poss	vos				100	1.000000	3.337620	0	100	0.000000		1.000000
1_1_intran_V_form	59_svo_ng_er_b_no	svo	ng	erg-abs	balancing	nomn	vos				100	1.000000	3.434557	0	100	0.000000		1.000000
1_1_intran_V_form	60_svo_ng_er_d_se	svo	ng	erg-abs	deranking	sent	svo				100	0.990000	1.557548	0	100	0.000000		0.990000
1_1_intran_V_form	61_svo_ng_er_d_pa	svo	ng	erg-abs	deranking	poss-acc	vos				100	0.990000	1.554348	0	100	0.000000		0.990000
1_1_intran_V_form	62_svo_ng_er_d_ep	svo	ng	erg-abs	deranking	erg-poss	vos				100	0.990000	1.395305	0	100	0.000000		0.990000
1_1_intran_V_form	63_svo_ng_er_d_no	svo	ng	erg-abs	deranking	nomn	vos				100	0.980000	1.614448	0	100	0.000000		0.980000
1_1_intran_V_form	64_vos_gn_ac_b_se	vos	gn	nom-acc	balancing	sent	vos				100	1.000000	2.728520	0	100	0.000000		1.000000
1_1_intran_V_form	65_vos_gn_ac_b_pa	vos	gn	nom-acc	balancing	poss-acc	svo				100	1.000000	2.909971	0	100	0.000000		1.000000
1_1_intran_V_form	66_vos_gn_ac_b_ep	vos	gn	nom-acc	balancing	erg-poss	sov				100	1.000000	3.139590	0	100	0.000000		1.000000
1_1_intran_V_form	67_vos_gn_ac_b_no	vos	gn	nom-acc	balancing	nomn	svo				100	1.000000	3.098978	0	100	0.000000		1.000000
1_1_intran_V_form	68_vos_gn_ac_d_se	vos	gn	nom-acc	deranking	sent	vos				100	1.000000	2.355904	0	100	0.000000		1.000000
1_1_intran_V_form	69_vos_gn_ac_d_pa	vos	gn	nom-acc	deranking	poss-acc	svo				100	0.980000	2.354853	0	100	0.000000		0.980000
1_1_intran_V_form	70_vos_gn_ac_d_ep	vos	gn	nom-acc	deranking	erg-poss	sov				100	1.000000	2.633967	0	100	0.000000		1.000000
1_1_intran_V_form	71_vos_gn_ac_d_no	vos	gn	nom-acc	deranking	nomn	svo				100	0.990000	2.516443	0	100	0.000000		0.990000
1_1_intran_V_form	72_vos_gn_er_b_se	vos	gn	erg-abs	balancing	sent	vos				100	1.000000	2.794668	0	100	0.000000		1.000000
