phenomenon	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	anc_wo_choice	anc_iv_order	anc_tv_order	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_10_tran_V_valency	91_vos_ng_er_b_no	vos	ng	erg-abs	balancing	nomn	vos				1	100	0.800000	0.940000	0.048000
1_10_tran_V_valency	92_vos_ng_er_d_se	vos	ng	erg-abs	deranking	sent	vos				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	93_vos_ng_er_d_pa	vos	ng	erg-abs	deranking	poss-acc	vos				1	100	0.790000	0.940000	0.047400
1_10_tran_V_valency	94_vos_ng_er_d_ep	vos	ng	erg-abs	deranking	erg-poss	vos				1	100	0.790000	0.940000	0.047400
1_10_tran_V_valency	95_vos_ng_er_d_no	vos	ng	erg-abs	deranking	nomn	vos				1	100	0.750000	0.940000	0.045000
1_1_intran_V_form	00_sov_gn_ac_b_se	sov	gn	nom-acc	balancing	sent	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	01_sov_gn_ac_b_pa	sov	gn	nom-acc	balancing	poss-acc	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	02_sov_gn_ac_b_ep	sov	gn	nom-acc	balancing	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	03_sov_gn_ac_b_no	sov	gn	nom-acc	balancing	nomn	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	04_sov_gn_ac_d_se	sov	gn	nom-acc	deranking	sent	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	05_sov_gn_ac_d_pa	sov	gn	nom-acc	deranking	poss-acc	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	06_sov_gn_ac_d_ep	sov	gn	nom-acc	deranking	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	07_sov_gn_ac_d_no	sov	gn	nom-acc	deranking	nomn	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	08_sov_gn_er_b_se	sov	gn	erg-abs	balancing	sent	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	09_sov_gn_er_b_pa	sov	gn	erg-abs	balancing	poss-acc	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	10_sov_gn_er_b_ep	sov	gn	erg-abs	balancing	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	11_sov_gn_er_b_no	sov	gn	erg-abs	balancing	nomn	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	12_sov_gn_er_d_se	sov	gn	erg-abs	deranking	sent	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	13_sov_gn_er_d_pa	sov	gn	erg-abs	deranking	poss-acc	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	14_sov_gn_er_d_ep	sov	gn	erg-abs	deranking	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	15_sov_gn_er_d_no	sov	gn	erg-abs	deranking	nomn	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	16_sov_ng_ac_b_se	sov	ng	nom-acc	balancing	sent	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	17_sov_ng_ac_b_pa	sov	ng	nom-acc	balancing	poss-acc	ovs				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	18_sov_ng_ac_b_ep	sov	ng	nom-acc	balancing	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	19_sov_ng_ac_b_no	sov	ng	nom-acc	balancing	nomn	ovs				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	20_sov_ng_ac_d_se	sov	ng	nom-acc	deranking	sent	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	21_sov_ng_ac_d_pa	sov	ng	nom-acc	deranking	poss-acc	ovs				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	22_sov_ng_ac_d_ep	sov	ng	nom-acc	deranking	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	23_sov_ng_ac_d_no	sov	ng	nom-acc	deranking	nomn	ovs				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	24_sov_ng_er_b_se	sov	ng	erg-abs	balancing	sent	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	25_sov_ng_er_b_pa	sov	ng	erg-abs	balancing	poss-acc	ovs				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	26_sov_ng_er_b_ep	sov	ng	erg-abs	balancing	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	27_sov_ng_er_b_no	sov	ng	erg-abs	balancing	nomn	ovs				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	28_sov_ng_er_d_se	sov	ng	erg-abs	deranking	sent	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	29_sov_ng_er_d_pa	sov	ng	erg-abs	deranking	poss-acc	ovs				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	30_sov_ng_er_d_ep	sov	ng	erg-abs	deranking	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	31_sov_ng_er_d_no	sov	ng	erg-abs	deranking	nomn	ovs				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	32_svo_gn_ac_b_se	svo	gn	nom-acc	balancing	sent	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	33_svo_gn_ac_b_pa	svo	gn	nom-acc	balancing	poss-acc	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	34_svo_gn_ac_b_ep	svo	gn	nom-acc	balancing	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	35_svo_gn_ac_b_no	svo	gn	nom-acc	balancing	nomn	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	36_svo_gn_ac_d_se	svo	gn	nom-acc	deranking	sent	svo				1	100	0.950000	0.000000	0.950000
1_1_intran_V_form	37_svo_gn_ac_d_pa	svo	gn	nom-acc	deranking	poss-acc	svo				1	100	0.980000	0.000000	0.980000
1_1_intran_V_form	38_svo_gn_ac_d_ep	svo	gn	nom-acc	deranking	erg-poss	sov				1	100	0.950000	0.000000	0.950000
1_1_intran_V_form	39_svo_gn_ac_d_no	svo	gn	nom-acc	deranking	nomn	svo				1	100	0.950000	0.000000	0.950000
1_1_intran_V_form	40_svo_gn_er_b_se	svo	gn	erg-abs	balancing	sent	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	41_svo_gn_er_b_pa	svo	gn	erg-abs	balancing	poss-acc	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	42_svo_gn_er_b_ep	svo	gn	erg-abs	balancing	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	43_svo_gn_er_b_no	svo	gn	erg-abs	balancing	nomn	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	44_svo_gn_er_d_se	svo	gn	erg-abs	deranking	sent	svo				1	100	0.950000	0.000000	0.950000
1_1_intran_V_form	45_svo_gn_er_d_pa	svo	gn	erg-abs	deranking	poss-acc	svo				1	100	0.960000	0.000000	0.960000
1_1_intran_V_form	46_svo_gn_er_d_ep	svo	gn	erg-abs	deranking	erg-poss	sov				1	100	0.960000	0.000000	0.960000
1_1_intran_V_form	47_svo_gn_er_d_no	svo	gn	erg-abs	deranking	nomn	svo				1	100	0.970000	0.000000	0.970000
1_1_intran_V_form	48_svo_ng_ac_b_se	svo	ng	nom-acc	balancing	sent	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	49_svo_ng_ac_b_pa	svo	ng	nom-acc	balancing	poss-acc	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	50_svo_ng_ac_b_ep	svo	ng	nom-acc	balancing	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	51_svo_ng_ac_b_no	svo	ng	nom-acc	balancing	nomn	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	52_svo_ng_ac_d_se	svo	ng	nom-acc	deranking	sent	svo				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	53_svo_ng_ac_d_pa	svo	ng	nom-acc	deranking	poss-acc	vos				1	100	0.940000	0.000000	0.940000
1_1_intran_V_form	54_svo_ng_ac_d_ep	svo	ng	nom-acc	deranking	erg-poss	vos				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	55_svo_ng_ac_d_no	svo	ng	nom-acc	deranking	nomn	vos				1	100	0.970000	0.000000	0.970000
1_1_intran_V_form	56_svo_ng_er_b_se	svo	ng	erg-abs	balancing	sent	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	57_svo_ng_er_b_pa	svo	ng	erg-abs	balancing	poss-acc	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	58_svo_ng_er_b_ep	svo	ng	erg-abs	balancing	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	59_svo_ng_er_b_no	svo	ng	erg-abs	balancing	nomn	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	60_svo_ng_er_d_se	svo	ng	erg-abs	deranking	sent	svo				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	61_svo_ng_er_d_pa	svo	ng	erg-abs	deranking	poss-acc	vos				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	62_svo_ng_er_d_ep	svo	ng	erg-abs	deranking	erg-poss	vos				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	63_svo_ng_er_d_no	svo	ng	erg-abs	deranking	nomn	vos				1	100	0.980000	0.000000	0.980000
1_1_intran_V_form	64_vos_gn_ac_b_se	vos	gn	nom-acc	balancing	sent	vos				1	100	1.000000	0.000000	1.000000
