phenomenon	strategy	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
6_2_anc_omit_A	poss-acc	nom-acc	12	1200	0.805833	0.005000	0.801804
6_2_anc_omit_A	sent	erg-abs	12	1200	0.570833	0.338333	0.377701
6_2_anc_omit_A	sent	nom-acc	12	1200	0.820833	0.005000	0.816729
6_3_anc_omit_P	erg-poss	erg-abs	12	1200	0.526667	0.000000	0.526667
6_3_anc_omit_P	erg-poss	nom-acc	12	1200	0.905000	0.333333	0.603333
6_3_anc_omit_P	nomn	erg-abs	12	1200	0.806667	0.000000	0.806667
6_3_anc_omit_P	nomn	nom-acc	12	1200	0.980000	0.250000	0.735000
6_3_anc_omit_P	poss-acc	erg-abs	12	1200	0.809167	0.000000	0.809167
6_3_anc_omit_P	poss-acc	nom-acc	12	1200	0.985000	0.250000	0.738750
6_3_anc_omit_P	sent	erg-abs	12	1200	0.735833	0.000000	0.735833
6_3_anc_omit_P	sent	nom-acc	12	1200	0.876667	0.500000	0.438333
6_4_anc_omit_A_P	erg-poss	erg-abs	12	1200	0.838333	0.511667	0.409386
6_4_anc_omit_A_P	erg-poss	nom-acc	12	1200	0.970000	0.003333	0.966767
6_4_anc_omit_A_P	nomn	erg-abs	12	1200	0.841667	0.511667	0.411014
6_4_anc_omit_A_P	nomn	nom-acc	12	1200	0.966667	0.003333	0.963444
6_4_anc_omit_A_P	poss-acc	erg-abs	12	1200	0.854167	0.511667	0.417118
6_4_anc_omit_A_P	poss-acc	nom-acc	12	1200	0.965833	0.003333	0.962614
6_4_anc_omit_A_P	sent	erg-abs	12	1200	0.857500	0.511667	0.418746
6_4_anc_omit_A_P	sent	nom-acc	12	1200	0.970833	0.003333	0.967597
