model_id	id	language	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_wo	group	min_items	weakest_label	weakest_n_items	weakest_accuracy_tie_ok	strongest_label	strongest_n_items	strongest_accuracy_tie_ok	accuracy_range
14_sov_gn_er_d_ep	14	14_sov_gn_er_d_ep	sov	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	detail_x_anc	20	iv_plain|arg	53	0.7547169811320755	iv_plain|bare	383	1.0	0.24528301886792447
15_sov_gn_er_d_no	15	15_sov_gn_er_d_no	sov	gn	erg-abs	er	deranking	d	nomn	no	sov	top_construction	20	cop_n	38963	0.9935323255396145	iv	49009	0.9983268379277276	0.004794512388113126
15_sov_gn_er_d_no	15	15_sov_gn_er_d_no	sov	gn	erg-abs	er	deranking	d	nomn	no	sov	anc_bucket	20	arg	1700	0.8594117647058823	none	214145	0.9959840295127134	0.13657226480683105
15_sov_gn_er_d_no	15	15_sov_gn_er_d_no	sov	gn	erg-abs	er	deranking	d	nomn	no	sov	top_x_anc	20	iv|arg	59	0.7288135593220338	iv|bare	424	1.0	0.27118644067796616
15_sov_gn_er_d_no	15	15_sov_gn_er_d_no	sov	gn	erg-abs	er	deranking	d	nomn	no	sov	complexity_bucket	20	anc_overt_arg	1700	0.8594117647058823	iv_plain	43682	0.9985806510690902	0.1391688863632079
15_sov_gn_er_d_no	15	15_sov_gn_er_d_no	sov	gn	erg-abs	er	deranking	d	nomn	no	sov	construction_detail	20	tv_indirect_obj	73	0.9863013698630136	iv_particle	4891	0.9989777141688816	0.012676344305867948
15_sov_gn_er_d_no	15	15_sov_gn_er_d_no	sov	gn	erg-abs	er	deranking	d	nomn	no	sov	detail_x_anc	20	iv_plain|arg	53	0.7169811320754716	iv_plain|bare	383	1.0	0.28301886792452835
16_sov_ng_ac_b_se	16	16_sov_ng_ac_b_se	sov	ng	nom-acc	ac	balancing	b	sent	se	sov	top_construction	20	cv	36439	0.9855374735859931	iv	49009	0.99704135975025	0.011503886164256905
16_sov_ng_ac_b_se	16	16_sov_ng_ac_b_se	sov	ng	nom-acc	ac	balancing	b	sent	se	sov	anc_bucket	20	arg	1700	0.4229411764705882	none	214145	0.9961614793714539	0.5732203029008658
16_sov_ng_ac_b_se	16	16_sov_ng_ac_b_se	sov	ng	nom-acc	ac	balancing	b	sent	se	sov	top_x_anc	20	iv|arg	59	0.0847457627118644	iv|none	48526	0.9981659316654989	0.9134201689536345
16_sov_ng_ac_b_se	16	16_sov_ng_ac_b_se	sov	ng	nom-acc	ac	balancing	b	sent	se	sov	complexity_bucket	20	anc_overt_arg	1700	0.4229411764705882	iv_plain	43682	0.9980770111258642	0.575135834655276
16_sov_ng_ac_b_se	16	16_sov_ng_ac_b_se	sov	ng	nom-acc	ac	balancing	b	sent	se	sov	construction_detail	20	cv_depth2plus	4058	0.9844751108920651	iv_particle	4891	0.9977509711715395	0.013275860279474472
16_sov_ng_ac_b_se	16	16_sov_ng_ac_b_se	sov	ng	nom-acc	ac	balancing	b	sent	se	sov	detail_x_anc	20	iv_plain|arg	53	0.07547169811320754	tv_particle|bare	75	1.0	0.9245283018867925
17_sov_ng_ac_b_pa	17	17_sov_ng_ac_b_pa	sov	ng	nom-acc	ac	balancing	b	poss-acc	pa	ovs	top_construction	20	cv	36439	0.9877878097642636	iv	49009	0.9983472423432431	0.01055943257897951
17_sov_ng_ac_b_pa	17	17_sov_ng_ac_b_pa	sov	ng	nom-acc	ac	balancing	b	poss-acc	pa	ovs	anc_bucket	20	arg	1700	0.8511764705882353	none	214145	0.9961381307058301	0.14496166011759481
17_sov_ng_ac_b_pa	17	17_sov_ng_ac_b_pa	sov	ng	nom-acc	ac	balancing	b	poss-acc	pa	ovs	top_x_anc	20	iv|arg	59	0.7457627118644068	iv|none	48526	0.9986811193999093	0.25291840753550254
17_sov_ng_ac_b_pa	17	17_sov_ng_ac_b_pa	sov	ng	nom-acc	ac	balancing	b	poss-acc	pa	ovs	complexity_bucket	20	anc_overt_arg	1700	0.8511764705882353	iv_plain	43682	0.9986035437937824	0.14742707320554704
17_sov_ng_ac_b_pa	17	17_sov_ng_ac_b_pa	sov	ng	nom-acc	ac	balancing	b	poss-acc	pa	ovs	construction_detail	20	cv_depth2plus	4058	0.9857072449482503	tv_indirect_obj	73	1.0	0.01429275505174965
17_sov_ng_ac_b_pa	17	17_sov_ng_ac_b_pa	sov	ng	nom-acc	ac	balancing	b	poss-acc	pa	ovs	detail_x_anc	20	iv_plain|arg	53	0.7169811320754716	tv_particle|bare	75	1.0	0.28301886792452835
18_sov_ng_ac_b_ep	18	18_sov_ng_ac_b_ep	sov	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	top_construction	20	cv	36439	0.9931392189686874	iv	49009	0.9978575363708706	0.004718317402183203
18_sov_ng_ac_b_ep	18	18_sov_ng_ac_b_ep	sov	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	anc_bucket	20	arg	1700	0.8864705882352941	none	214145	0.996950664269537	0.11048007603424292
18_sov_ng_ac_b_ep	18	18_sov_ng_ac_b_ep	sov	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	top_x_anc	20	iv|arg	59	0.711864406779661	iv|none	48526	0.9982277541936282	0.2863633474139672
18_sov_ng_ac_b_ep	18	18_sov_ng_ac_b_ep	sov	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	complexity_bucket	20	anc_overt_arg	1700	0.8864705882352941	iv_plain	43682	0.9981456892999405	0.1116751010646464
18_sov_ng_ac_b_ep	18	18_sov_ng_ac_b_ep	sov	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	construction_detail	20	cv_depth2plus	4058	0.9928536224741252	tv_indirect_obj	73	1.0	0.00714637752587477
18_sov_ng_ac_b_ep	18	18_sov_ng_ac_b_ep	sov	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	detail_x_anc	20	iv_plain|arg	53	0.6981132075471698	tv_particle|bare	75	1.0	0.30188679245283023
19_sov_ng_ac_b_no	19	19_sov_ng_ac_b_no	sov	ng	nom-acc	ac	balancing	b	nomn	no	ovs	top_construction	20	cv	36439	0.9933862070858146	iv	49009	0.9980615805260258	0.0046753734402111835
19_sov_ng_ac_b_no	19	19_sov_ng_ac_b_no	sov	ng	nom-acc	ac	balancing	b	nomn	no	ovs	anc_bucket	20	arg	1700	0.8494117647058823	none	214145	0.9971794811926499	0.14776771648676756
19_sov_ng_ac_b_no	19	19_sov_ng_ac_b_no	sov	ng	nom-acc	ac	balancing	b	nomn	no	ovs	top_x_anc	20	iv|arg	59	0.7457627118644068	iv|none	48526	0.9983926142686395	0.25262990240423266
