model_id	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_unique_sentences_per_id	mean_own_sentence_group_size	mean_max_languages_count	mean_max_unique_sentences_count
63_svo_ng_er_d_no	svo	ng	erg-abs	deranking	nomn	vos	0.9941430180736139	3.590487004681097e-05	0.9958395231833258	0.994972511232393	1.0677165849082855	6.77561700275121	24.495958458065356	24.465686164507137	1.0
64_vos_gn_ac_b_se	vos	gn	nom-acc	balancing	sent	vos	0.9913469263187186	8.976217511702743e-06	0.9927113113804974	0.9924616397136817	1.0800140028993181	6.77561700275121	17.528762044961873	17.535328148071684	1.0
65_vos_gn_ac_b_pa	vos	gn	nom-acc	balancing	poss-acc	svo	0.994264197010022	1.7952435023405486e-05	0.9960729048386301	0.9951991668750975	1.047681667422165	6.77561700275121	17.537275987271723	17.531917185417235	1.0
66_vos_gn_ac_b_ep	vos	gn	nom-acc	balancing	erg-poss	sov	0.9972802060939541	0.0003321200479330015	0.9978681483409706	0.997637329608041	1.0263766151581386	6.77561700275121	17.520930295182914	17.52352891015255	1.0
67_vos_gn_ac_b_no	vos	gn	nom-acc	balancing	nomn	svo	0.9956106296367774	1.7952435023405486e-05	0.9971680033750577	0.9963607704107781	1.0357702267841353	6.77561700275121	17.526455157061367	17.526800741435565	1.0
68_vos_gn_ac_d_se	vos	gn	nom-acc	deranking	sent	vos	0.9920336069583638	8.976217511702743e-06	0.9932588606487113	0.9930689038326518	1.0683718487866398	6.77561700275121	17.528762044961873	17.535373029159242	1.0
69_vos_gn_ac_d_pa	vos	gn	nom-acc	deranking	poss-acc	svo	0.9954894507003693	2.2440543779256858e-05	0.9967416330432519	0.9961984395728375	1.0348232358366507	6.77561700275121	17.537275987271723	17.534619026888258	1.0
70_vos_gn_ac_d_ep	vos	gn	nom-acc	deranking	erg-poss	sov	0.9975764212718402	0.00029621517788619054	0.998159875410101	0.9979189525759623	1.0208203365183945	6.77561700275121	17.520930295182914	17.5230666349507	1.0
71_vos_gn_ac_d_no	vos	gn	nom-acc	deranking	nomn	svo	0.9966518708681349	3.1416761290959606e-05	0.9977738980570977	0.9972166817474509	1.0261342572853225	6.77561700275121	17.526455157061367	17.52727199285493	1.0
72_vos_gn_er_b_se	vos	gn	erg-abs	balancing	sent	vos	0.9941160894210789	8.976217511702743e-06	0.9958170826395465	0.99505334669383	1.0439789776985875	6.77561700275121	17.52868125900427	17.530368787896467	1.0
73_vos_gn_er_b_pa	vos	gn	erg-abs	balancing	poss-acc	svo	0.9953592955464496	2.2440543779256858e-05	0.9976841358819807	0.9962788721857875	1.0310577125904914	6.77561700275121	17.53720417753163	17.528685747113023	1.0
74_vos_gn_er_b_ep	vos	gn	erg-abs	balancing	erg-poss	sov	0.9981149943225425	0.00034558437420055565	0.9985907338506627	0.9983806585922557	1.0167316694418138	6.77561700275121	17.52085848544282	17.522873646274196	1.0
75_vos_gn_er_b_no	vos	gn	erg-abs	balancing	nomn	svo	0.9969705265898003	4.0392978802662344e-05	0.9982855424552648	0.9975505780097182	1.0218077204446818	6.77561700275121	17.52638334732127	17.526778300891788	1.0
76_vos_gn_er_d_se	vos	gn	erg-abs	deranking	sent	vos	0.9954311052865433	1.3464326267554115e-05	0.9968313952183689	0.9961863165987866	1.0326868960688655	6.77561700275121	17.52864535413422	17.530871456077122	1.0
77_vos_gn_er_d_pa	vos	gn	erg-abs	deranking	poss-acc	svo	0.9963017983851785	2.2440543779256858e-05	0.9983573521953584	0.9970765507941571	1.0215429220280865	6.77561700275121	17.53720417753163	17.52961927373424	1.0
78_vos_gn_er_d_ep	vos	gn	erg-abs	deranking	erg-poss	sov	0.9977245288607833	0.00028723896037448777	0.9983259354340674	0.9980473037574382	1.018571794031713	6.77561700275121	17.52085848544282	17.523394266889877	1.0
79_vos_gn_er_d_no	vos	gn	erg-abs	deranking	nomn	svo	0.9968673000884157	4.936919631436509e-05	0.9980386964736929	0.9974091926188337	1.0219019707285546	6.77561700275121	17.52638334732127	17.526446180843855	1.0
80_vos_ng_ac_b_se	vos	ng	nom-acc	balancing	sent	vos	0.9909564608569594	4.488108755851371e-06	0.9928818595132197	0.9922227393366243	1.0751982622042897	6.77561700275121	17.528762044961873	17.533923370031104	1.0
81_vos_ng_ac_b_pa	vos	ng	nom-acc	balancing	poss-acc	vos	0.993959005614624	2.2440543779256858e-05	0.9955522842229513	0.9948349492861424	1.0541849370093936	6.77561700275121	17.5372580348367	17.533218736956435	1.0
82_vos_ng_ac_b_ep	vos	ng	nom-acc	balancing	erg-poss	vos	0.9940442796809852	0.0002692865253510823	0.9952650452625768	0.9948195643195259	1.0556929415513596	6.77561700275121	17.520885414095353	17.524561175166397	1.0
83_vos_ng_ac_b_no	vos	ng	nom-acc	balancing	nomn	vos	0.995081032803587	4.4881087558513716e-05	0.9964499059741215	0.9958108696876651	1.042821045639578	6.77561700275121	17.526428228408832	17.527797101579367	1.0
84_vos_ng_ac_d_se	vos	ng	nom-acc	deranking	sent	vos	0.9917373917804776	0.0	0.9933216941712931	0.992851084928066	1.0693143516253685	6.77561700275121	17.528762044961873	17.533627154853217	1.0
