model_id	subset	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_n_unique_sentences	mean_own_sentence_group_size	mean_max_languages_count	mean_score_gap	mean_score_gap_when_wrong
17_sov_ng_ac_b_pa	anc	sov	ng	nom-acc	balancing	poss-acc	ovs	0.9633048696053542	0.0005769674590353104	0.9828063697207478	0.9709894007212093	1.2312485575813523	10.537387491345488	15.19524578813755	15.104431110085391	0.012807037600969306	0.34901191147798744
17_sov_ng_ac_b_pa	non_anc	sov	ng	nom-acc	balancing	poss-acc	ovs	0.9961381307058301	0	0.9967218473464241	0.9965589618845175	1.0429241868827197	6.623386023488758	24.883681617595556	24.875612318755984	0.001002877250601228	0.2596869997944377
18_sov_ng_ac_b_ep	all	sov	ng	nom-acc	balancing	erg-poss	vos	0.9960908572736534	0.0002917270691303392	0.9970692649824291	0.9966060429562723	1.040675729654281	6.77561700275121	24.49072981136479	24.480564245032784	0.0009739450283872878	0.24914542562571756
18_sov_ng_ac_b_ep	anc	sov	ng	nom-acc	balancing	erg-poss	vos	0.9748442187860604	0.007500576967459035	0.986960535425802	0.9798408159566121	1.1591276252019387	10.537387491345488	14.780521578582968	14.790560812370183	0.007916272650588507	0.3146899944495413
18_sov_ng_ac_b_ep	non_anc	sov	ng	nom-acc	balancing	erg-poss	vos	0.996950664269537	0	0.9974783441126339	0.9972844966076724	1.0358822293305938	6.623386023488758	24.883681617595556	24.872698405286137	0.0006930035580097597	0.22726377784073504
19_sov_ng_ac_b_no	all	sov	ng	nom-acc	balancing	nomn	ovs	0.9959158210321752	4.936919631436509e-05	0.9971949320275929	0.9965430432721455	1.0384855325814255	6.77561700275121	24.49603924402296	24.485371009510303	0.0010800682524650935	0.26445174439560437
19_sov_ng_ac_b_no	anc	sov	ng	nom-acc	balancing	nomn	ovs	0.964689591507039	0.001269328409877683	0.986845141933995	0.97324837180937	1.1734364181860144	10.537387491345488	14.917032079390722	14.88645280406185	0.009803131234710362	0.2776272394771242
19_sov_ng_ac_b_no	non_anc	sov	ng	nom-acc	balancing	nomn	ovs	0.9971794811926499	0	0.9976137663732517	0.9974857298765323	1.0330243526582457	6.623386023488758	24.883681617595556	24.87381914123608	0.0007270641486843025	0.25777674192052974
20_sov_ng_ac_d_se	all	sov	ng	nom-acc	deranking	sent	sov	0.9922265956348654	0	0.9937615288293666	0.9932530554493719	1.0756336087536074	6.77561700275121	24.497524808021147	24.49096768112885	0.0025988277565739573	0.334322985721709
20_sov_ng_ac_d_se	anc	sov	ng	nom-acc	deranking	sent	sov	0.8863374105700439	0	0.9109162243249481	0.9031146153934918	1.9826909762289406	10.537387491345488	14.95522732517886	15.067274405723516	0.046429034826909764	0.4084812343248731
20_sov_ng_ac_d_se	non_anc	sov	ng	nom-acc	deranking	sent	sov	0.9965117093558103	0	0.9971141049289033	0.9969007694820332	1.038926895327932	6.623386023488758	24.883681617595556	24.87232482663616	0.0008251110017044526	0.23653734331994644
21_sov_ng_ac_d_pa	all	sov	ng	nom-acc	deranking	poss-acc	ovs	0.994775841408189	2.692865253510823e-05	0.9961357383612119	0.9955039175373298	1.0522056810480631	6.77561700275121	24.50686007423332	24.492332066190627	0.0014351332147425396	0.2747108820532646
